jurisdiction_clean,total_disclosures,discrepancy_count,mean_abs_discrepancy,max_abs_discrepancy,discrepancy_rate (%)
United Kingdom,2736,3,4527.44907529241,12386731.67,0.10964912280701754
Japan,4627,4,37256.79729630436,144920000.0,0.08644910309055544
Republic of Korea,1450,1,2044.9827586207243,2965225.0,0.06896551724137931
United States,5322,1,31520610.166854564,167752687308.0,0.018789928598271326
Singapore,154,0,1.9589570946628591e-10,1.4901161193847656e-08,0.0
New Zealand,108,0,1.462928543737184e-12,5.820766091346741e-11,0.0
Norway,310,0,1.967180941439819e-10,5.960464477539063e-08,0.0
Poland,203,0,7.8898245353539e-12,9.313225746154785e-10,0.0
Portugal,124,0,9.975103180735341e-13,5.820766091346741e-11,0.0
South Africa,368,0,8.185459556541298e-12,9.313225746154785e-10,0.0
Mexico,542,0,1.492995804886711e-11,3.725290298461914e-09,0.0
Spain,740,0,4.85367518699176e-11,7.450580596923828e-09,0.0
Sweden,550,0,2.5907680041696453e-12,4.656612873077393e-10,0.0
Switzerland,362,0,1.4965207710249854e-11,9.313225746154785e-10,0.0
Thailand,185,0,1.0880037771622065e-10,1.4901161193847656e-08,0.0
Türkiye,426,0,2.3739743191597395e-10,5.960464477539063e-08,0.0
Netherlands,388,0,2.443974118157011e-11,1.862645149230957e-09,0.0
Australia,353,0,2.217066442300338e-11,7.450580596923828e-09,0.0
Austria,145,0,2.2883200315469556e-11,1.862645149230957e-09,0.0
Italy,865,0,1.733185412786831e-11,7.450580596923828e-09,0.0
Ireland,258,0,5.7767124417296145e-12,9.313225746154785e-10,0.0
Indonesia,152,0,2.2991667049753136e-12,1.1641532182693481e-10,0.0
India,914,0,1.053612436781154e-11,1.862645149230957e-09,0.0
Germany,1068,0,1.6145820011806764e-11,1.4901161193847656e-08,0.0
France,956,0,2.451663419001059e-11,7.450580596923828e-09,0.0
Finland,343,0,5.279974708178844e-12,9.313225746154785e-10,0.0
Denmark,321,0,3.4945421426765898e-12,9.313225746154785e-10,0.0
Colombia,134,0,2.8460736255293518e-11,9.313225746154785e-10,0.0
China,5501,0,1.335288549074335e-10,4.76837158203125e-07,0.0
Canada,783,0,8.706657645455067e-12,1.862645149230957e-09,0.0
Brazil,1504,0,3.089635550947422e-10,1.1920928955078125e-07,0.0
Belgium,225,0,9.599426044183524e-11,1.4901161193847656e-08,0.0
Malaysia,119,0,1.1005650172714425e-12,1.1641532182693481e-10,0.0
