sics_sector,total_company_category_pairs,systematic_omitters,pct_systematic,avg_max_consecutive_opaque_yrs,avg_opaque_years
Consumer Goods,1201,319,26.56,2.0,2.07
Extractives & Minerals Processing,416,146,35.1,2.16,2.24
Financials,531,195,36.72,2.21,2.3
Food & Beverage,928,319,34.38,2.01,2.09
Health Care,572,189,33.04,2.21,2.35
Infrastructure,873,321,36.77,2.14,2.23
Renewable Resources & Alternative Energy,102,14,13.73,1.59,1.72
Resource Transformation,1807,667,36.91,2.19,2.27
Services,447,129,28.86,1.93,2.04
Technology & Communications,1327,423,31.88,2.09,2.15
Transportation,984,300,30.49,2.02,2.17
