event_time,mean_sdqi,se,n,group
-2,0.1659071014246256,0.008996050345378223,1013,Switchers
-1,0.20659049558282025,0.0076974789029227945,1617,Switchers
0,0.4826081481831939,0.007387449527027148,1917,Switchers
1,0.5187766435403917,0.009545051345869462,1197,Switchers
2,0.5672051420498562,0.011370404357637665,766,Switchers
-2,0.1489060997136666,0.005131610399845103,2627,Never Verified
-1,0.1640156850061654,0.004650997779485234,3327,Never Verified
0,0.18957635036025802,0.00426549132174807,4419,Never Verified
1,0.26631260973759824,0.00436839451251441,5380,Never Verified
2,0.2902746372909242,0.008048707999862905,1626,Never Verified
